Const. No.,Constituency,Leading Candidate,Leading Party,Margin,Party Category,Status,Trailing Candidate,Trailing Party
1,Adilabad,GODAM NAGESH,Bharatiya Janata Party,90652,BJP,Result Declared,ATHRAM SUGUNA,Indian National Congress
1,AMBALA,VARUN CHAUDHRY,Indian National Congress,49036,INC,Result Declared,BANTO KATARIA,Bharatiya Janata Party
1,Andaman & Nicobar Islands,BISHNU PADA RAY,Bharatiya Janata Party,24396,BJP,Result Declared,KULDEEP RAI SHARMA,Indian National Congress
1,Araku (ST),GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,50580,Other,Result Declared,KOTHAPALLI GEETHA,Bharatiya Janata Party
1,Arunachal West,KIREN RIJIJU,Bharatiya Janata Party,100738,BJP,Result Declared,NABAM TUKI,Indian National Congress
1,BARAMULLA,ABDUL RASHID SHEIKH,Independent,204142,Other,Result Declared,OMAR ABDULLAH,Jammu & Kashmir National Conference
1,Bargarh,PRADEEP PUROHIT,Bharatiya Janata Party,251667,BJP,Result Declared,PARINITA MISHRA,Biju Janata Dal
1,Chandigarh,MANISH TEWARI,Indian National Congress,2504,INC,Result Declared,SANJAY TANDON,Bharatiya Janata Party
1,Chandni Chowk,PRAVEEN KHANDELWAL,Bharatiya Janata Party,89325,BJP,Result Declared,JAI PRAKASH AGARWAL,Indian National Congress
1,Chikkodi,PRIYANKA SATISH JARKIHOLI,Indian National Congress,90834,INC,Result Declared,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party
1,Coochbehar,JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,39250,Other,Result Declared,NISITH PRAMANIK,Bharatiya Janata Party
1,Daman & Diu,PATEL UMESHBHAI BABUBHAI,Independent,6225,Other,Result Declared,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party
1,GANGANAGAR,KULDEEP INDORA,Indian National Congress,88153,INC,Result Declared,PRIYANKA BALAN MEGHWAL,Bharatiya Janata Party
1,Gurdaspur,SUKHJINDER SINGH RANDHAWA,Indian National Congress,82861,INC,Result Declared,DINESH SINGH BABBU,Bharatiya Janata Party
1,Inner Manipur,ANGOMCHA BIMOL AKOIJAM,Indian National Congress,109801,INC,Result Declared,THOUNAOJAM BASANTA KUMAR SINGH,Bharatiya Janata Party
1,Kachchh,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,268782,BJP,Result Declared,NITESH PARBATBHAI LALAN (MATANG),Indian National Congress
1,KANGRA,DR RAJEEV BHARDWAJ,Bharatiya Janata Party,251895,BJP,Result Declared,ANAND SHARMA,Indian National Congress
